theta_s_deg,theta_p_deg,M_hub_sl_Nm,M_hub_10k_Nm,T_servo_sl_Nm,T_servo_10k_Nm
-30.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-29.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-29.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-28.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-28.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-27.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-27.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-26.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-26.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-25.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-25.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-24.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-24.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-23.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-23.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-22.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-22.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-21.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-21.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-20.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-20.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-19.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-19.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-18.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-18.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-17.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-17.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-16.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-16.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-15.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-15.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-14.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-14.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-13.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-13.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-12.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-12.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-11.5,-17.250000000000004,-0.721318920391076,-0.30972683557690606,-0.6010991003258966,-0.25810569631408836
-11.0,-16.499999999999996,-0.694305054287116,-0.30060827750834485,-0.5785875452392633,-0.2505068979236207
-10.5,-15.75,-0.6672911881831562,-0.29148971943978375,-0.5560759901526302,-0.2429080995331531
-10.0,-14.999999999999998,-0.6402773220791964,-0.28237116137122265,-0.533564435065997,-0.23530930114268553
-9.5,-14.250000000000002,-0.6132634559752367,-0.27325260330266155,-0.5110528799793639,-0.22771050275221794
-9.0,-13.5,-0.5862495898712768,-0.26413404523410033,-0.48854132489273067,-0.2201117043617503
